drug	Prodiem Plain
movie		Dá-me Luz
place		Burnside
place		Synthroid
place		Saint-Maur-des-Fossés
drug		Tribiotic
company		Westport Resources Corporation
drug		Aspir-Low
place		Chessington
movie		What Makes a Family
drug		Dalacin T Topical Solution
place		Billet-doux
drug		Tartaglia
person		John Bernoulli
place		Because
movie		Siempre te amaré
drug		Fluocin 10
person		Denton Meets Ian Thorpe
movie		Bad Boy - Rennen am Äquator
place		Ziagen
movie		GyneCure Vaginal Ovules Tandempak
drug		Clearasil Double Textured Pads Regular Strength
person		Viscount Goderich
drug		Maximum Strength Mylanta Gas Relief
movie		Drawn from Life
movie		Léon Victor Auguste Bourgeois
place		Desferal
movie		Isaac Asimov's Nightfall
place		Kurukshetra
drug		Tylenol Cold and Flu No Drowsiness Powder 124
movie		The Wog Boy
movie		Un Anno in campagna
drug		Apo-Alpraz
movie		Xi yang jing
company		Giant Industries Inc.
movie		Taivas tiellä
drug		PMS-Docusate Sodium 44
movie		Lucy Lawless
drug		Novartis
person		George Atwood
movie		Faites comme si je n'étais pas là
movie		Sei forte, Maestro
company		Bally Total Fitness Holding Corp.
person		Antoni Zygmund
movie		Joining the Dots
drug		Jacob Cooper
drug		Lidoxide
place		Samara
drug		Castaway 2000
movie		Curiosity & the Cat
place		Llangollen
person		Robert Bárány
company		Cornell Companies Inc.
drug		Sinus Allergy Triaminicin Cold
place		Altnaharra
movie		11th & Congress
company		Oneok Inc.
movie		More Best Of Dirty Debutantes 13: Lovin' Spoonfuls
drug		Rulox No. 2
person		Mark L. Polansky
company		Ltc Pptys Inc
movie		Leg Up
movie		Broncomar GG
movie		Plugged In
person		St. Martin I
company		FINL SEC ASSURN HLDGS LTD
movie		Fallout Tactics: Brotherhood of Steel
person		Gabriela Mistral
place		Ptolemy
movie		Miss Rumphius
movie		Thomas Digges
place		Labège
movie		Sam the Man
person		RPG Maker
drug		Calmine
person		Girls! Girls! Girls!
movie		René de Sluze
drug		Tim-AK
movie		Pro Skater 2
person		Rancid Aluminium
company		Harsco Corporation.
drug		Trocal
place		Suhl
place		Revesby
drug		Clinagen LA 40
movie		Althea Gibson
company		Patricia Cornwell
place		Robalog
movie		Erich Hecke
place		Oadby
drug		Triaminic-DM Cough Relief 118
place		Pembrey
person		Edwin G. Krebs
company		Rouse Company
person		Andrew Bonar Law
movie		Lawrence Melm
person		Kiri Maori
movie		Susumu Tonegaw
movie		The Runaway
movie		Um Dia na Vida
movie		The Tao of Steve
place		Ediger
movie		Vicks DayQuil Sinus Pressure and Congestion Relief Caplets 141
company		Nfo Worldwide Inc.
person		Meruvax II
company		Motivepower Industries Inc.
drug		Dimetapp DM 21
movie		Upper Bucklebury
place		César
place		Novgorod
drug		Vicks Children's NyQuil Cold/Cough Relief 33
movie		Tom Sawyer
place		Melchior Broederlam
company		CNA Surety Corporation
drug		Aludrox
movie		Telefónica del Perú SA
company		Comfort Systems USA Inc.
movie		Prison of the Dead
movie		Estee Lauder
place		Chipping
company		Actifed Cold & Sinus Caplets 26
company		Circuit City Stores Inc.
movie		Provera Pak
drug		Spoof!
person		Buttwoman vs. Buttwoman
movie		Boris e Jeremias
drug		Nadostine
drug		Vicks Sinex 12-Hour Ultra Fine Mist for Sinus Relief
person		Gregory VI
drug		Roxilox
movie		Marriage Acts
drug		Blocadren 14
place		Lochearnhead
place		Gross-Gerau
drug		Colestid
movie		Class of Nuke 'Em High IV
place		Murmansk
drug		Sustacal Basic
person		John Whittaker
movie		Gang Bang Angels 7
drug		Andronate 100
drug		Norditropin
person		Jersey Guy
person		Aarno Karimo
person		John Henry
movie		Lao tou
place		Grange-over-Sands
drug		Ocusporin
movie		Cutar Water Dispersible Emollient Tar
drug		Nu-Cephalex 19
movie		Ruth Moufang
movie		Tre anni
company		CB Richard Ellis Services Inc.
place		Liquaemin
drug		Danocrine
person		Jan van Eyck
movie		Suzhou he
drug		Constulose 13
drug		Luftpiraten - 113 Passagiere in Todesangst
drug		Apo-Dimenhydrinate
company		Transcontinental Realty Investors Inc.
movie		Lytham St. Anne's
drug		Scrappers
movie		Isacc Asimov
person		Caleb Carr
movie		Jesse Douglas
place		Hopkins
movie		Arrest & Trial
company		Nations Balanced Target Maturity Fund, Inc.
drug		Desenex Antifungal Penetrating Foam
place		Blister
person		Joyeux Noël, Rachid
place		Oundle
movie		Pius XII
place		Ballymena
movie		Flight of the Reindeer
drug		Scot-Tussin Senior Clear 109
place		Cillium
drug		Proloprim
movie		Gregory IX
movie		With Closed Eyes
drug		Nalda-Relief Pediatric Drops 14
drug		Dunblane
movie		Fetish Fanatics #14: Girls Who Were Porn's 1st Superstars
movie		Lyme disease vaccine
movie		René Thom
drug		Disobrom 19
place		Neoral
person		Rumaysa bint Milhan
place		Sham
place		Virtuoso
company		The Latin American Discovery Fund, Inc.
movie		The Dark Years
drug		Newport-on-Tay
drug		Anaprox 13
movie		John and Yoko's Year of Peace
movie		Best Foods
person		Alexis M. Herman
movie		The Summer of the Kavalcutes
place		Derry
movie		Pansion za kucheta
